Player,Club,Nationality,Coordinates
Edouard Mendy,Chelsea FC,Senegal,"14.497401, -14.452362"
Kepa,Chelsea FC,Spain,"40.463667, -3.74922"
Kurt Zouma,Chelsea FC,France,"46.227638, 2.213749"
Andreas Christensen,Chelsea FC,Denmark,"56.26392, 9.501785"
Antonio Rüdiger,Chelsea FC,Germany,"51.165691, 10.451526"
Ethan Ampadu,Chelsea FC,Wales,"53.34061, -1.28162"
Thiago Silva,Chelsea FC,Brazil,"-14.235004, -51.92528"
Jake Clarke-Salter,Chelsea FC,England,"55.3618, -3.4433"
Ben Chilwell,Chelsea FC,England,"55.3618, -3.4433"
Marcos Alonso,Chelsea FC,Spain,"40.463667, -3.74922"
Emerson,Chelsea FC,Italy,"41.87194, 12.56738"
Reece James,Chelsea FC,England,"55.3618, -3.4433"
César Azpilicueta,Chelsea FC,Spain,"40.463667, -3.74922"
N'Golo Kanté,Chelsea FC,France,"46.227638, 2.213749"
Jorginho,Chelsea FC,Italy,"41.87194, 12.56738"
Mateo Kovacic,Chelsea FC,Croatia,"45.1, 15.2"
Ross Barkley,Chelsea FC,England,"55.3618, -3.4433"
Ruben Loftus-Cheek,Chelsea FC,England,"55.3618, -3.4433"
Conor Gallagher,Chelsea FC,England,"55.3618, -3.4433"
Mason Mount,Chelsea FC,England,"55.3618, -3.4433"
Kai Havertz,Chelsea FC,Germany,"51.165691, 10.451526"
Hakim Ziyech,Chelsea FC,Morocco,"31.791702, -7.09262"
Charly Musonda Jr.,Chelsea FC,Belgium,"50.503887, 4.469936"
Callum Hudson-Odoi,Chelsea FC,England,"55.3618, -3.4433"
Christian Pulisic,Chelsea FC,United States,"37.09024, -95.712891"
Timo Werner,Chelsea FC,Germany,"51.165691, 10.451526"
Tammy Abraham,Chelsea FC,England,"55.3618, -3.4433"
Michy Batshuayi,Chelsea FC,Belgium,"50.503887, 4.469936"
Olivier Giroud,Chelsea FC,France,"46.227638, 2.213749"
