Club,Players used,Non-foreigners played,Used foreign players,% minutes non-foreigners,% minutes foreign players
Real Madrid,30,14,16,28.3 %,71.7 %
Atlético Madrid,25,8,17,29.7 %,70.3 %
Sevilla FC,26,10,16,30.4 %,69.6 %
Valencia,30,11,19,35.2 %,64.8 %
Barcelona,25,11,14,37.0 %,63.0 %
Getafe,31,13,18,41.0 %,59.0 %
Granada CF,34,20,14,48.1 %,51.9 %
Real Betis,25,14,11,51.7 %,48.3 %
SD Eibar,30,21,9,61.2 %,38.8 %
Cádiz CF,34,23,11,62.1 %,37.9 %
Celta de Vigo,30,19,11,66.4 %,33.6 %
Elche CF,30,18,12,68.2 %,31.8 %
Real Valladolid,32,24,8,72.2 %,27.8 %
Levante,29,20,9,72.2 %,27.8 %
Alavés,30,21,9,79.3 %,20.7 %
Villarreal,29,19,10,79.8 %,20.2 %
Real Sociedad,30,25,5,80.3 %,19.7 %
SD Huesca,27,20,7,82.7 %,17.3 %
CA Osasuna,28,22,6,84.5 %,15.5 %
Athletic,27,26,1,99.9 %,0.1 %
