Club,Players used,Non-foreigners played,Used foreign players,% minutes non-foreigners,% minutes foreign players
Stade Reims,29,7,22,19.5 %,80.5 %
Paris SG,33,10,23,21.4 %,78.6 %
Olympique Lyon,29,10,19,22.1 %,77.9 %
FC Metz,27,9,18,26.0 %,74.0 %
Dijon,33,13,20,27.5 %,72.5 %
LOSC Lille,21,8,13,37.4 %,62.6 %
OGC Nice,31,17,14,49.2 %,50.8 %
Nîmes Olympique,34,18,16,49.4 %,50.6 %
R. Strasbourg,26,12,14,50.8 %,49.2 %
G. Bordeaux,28,14,14,52.2 %,47.8 %
Marseille,31,18,13,52.8 %,47.2 %
Lens,27,14,13,57.9 %,42.1 %
FC Nantes,25,14,11,59.5 %,40.5 %
SCO Angers,31,19,12,60.4 %,39.6 %
Montpellier,25,15,10,60.5 %,39.5 %
Saint-Étienne,40,28,12,60.6 %,39.4 %
Monaco,30,13,17,61.5 %,38.5 %
FC Lorient,27,16,11,64.2 %,35.8 %
Stade Rennais,32,22,10,67.7 %,32.3 %
Stade Brest 29,26,19,7,77.4 %,22.6 %
