Player,Club,Nationality,Coordinates
Ederson,Manchester City,Brazil,"-14.235004, -51.92528"
Zack Steffen,Manchester City,United States,"37.09024, -95.712891"
Rúben Dias,Manchester City,Portugal,"39.399872, -8.224454"
Aymeric Laporte,Manchester City,Spain,"40.463667, -3.74922"
Nathan Aké,Manchester City,Netherlands,"52.132633, 5.291266"
John Stones,Manchester City,England,"55.3618, -3.4433"
Philippe Sandler,Manchester City,Netherlands,"52.132633, 5.291266"
Oleksandr Zinchenko,Manchester City,Ukraine,"48.379433, 31.16558"
Benjamin Mendy,Manchester City,France,"46.227638, 2.213749"
João Cancelo,Manchester City,Portugal,"39.399872, -8.224454"
Kyle Walker,Manchester City,England,"55.3618, -3.4433"
Rodri,Manchester City,Spain,"40.463667, -3.74922"
Fernandinho,Manchester City,Brazil,"-14.235004, -51.92528"
Ilkay Gündogan,Manchester City,Germany,"51.165691, 10.451526"
Kevin De Bruyne,Manchester City,Belgium,"50.503887, 4.469936"
Bernardo Silva,Manchester City,Portugal,"39.399872, -8.224454"
Raheem Sterling,Manchester City,England,"55.3618, -3.4433"
Phil Foden,Manchester City,England,"55.3618, -3.4433"
Ferran Torres,Manchester City,Spain,"40.463667, -3.74922"
Riyad Mahrez,Manchester City,Algeria,"28.033886, 1.659626"
Patrick Roberts,Manchester City,England,"55.3618, -3.4433"
Gabriel Jesus,Manchester City,Brazil,"-14.235004, -51.92528"
