Player,Club,Nationality,Coordinates
Keylor Navas,Paris Saint-Germain,Costa Rica,"9.748917, -83.753428"
Sergio Rico,Paris Saint-Germain,Spain,"40.463667, -3.74922"
Marcin Bulka,Paris Saint-Germain,Poland,"51.919438, 19.145136"
Alexandre Letellier,Paris Saint-Germain,France,"46.227638, 2.213749"
Garissone Innocent,Paris Saint-Germain,Haiti,"18.971187, -72.285215"
Denis Franchi,Paris Saint-Germain,Italy,"41.87194, 12.56738"
Marquinhos,Paris Saint-Germain,Brazil,"-14.235004, -51.92528"
Presnel Kimpembe,Paris Saint-Germain,France,"46.227638, 2.213749"
Thilo Kehrer,Paris Saint-Germain,Germany,"51.165691, 10.451526"
Abdou Diallo,Paris Saint-Germain,Senegal,"14.497401, -14.452362"
Timothée Pembélé,Paris Saint-Germain,France,"46.227638, 2.213749"
Juan Bernat,Paris Saint-Germain,Spain,"40.463667, -3.74922"
Layvin Kurzawa,Paris Saint-Germain,France,"46.227638, 2.213749"
Colin Dagba,Paris Saint-Germain,France,"46.227638, 2.213749"
Leandro Paredes,Paris Saint-Germain,Argentina,"-38.416097, -63.616672"
Danilo Pereira,Paris Saint-Germain,Portugal,"39.399872, -8.224454"
Idrissa Gueye,Paris Saint-Germain,Senegal,"14.497401, -14.452362"
Marco Verratti,Paris Saint-Germain,Italy,"41.87194, 12.56738"
Rafinha,Paris Saint-Germain,Brazil,"-14.235004, -51.92528"
Ander Herrera,Paris Saint-Germain,Spain,"40.463667, -3.74922"
Xavi Simons,Paris Saint-Germain,Netherlands,"52.132633, 5.291266"
Bandiougou Fadiga,Paris Saint-Germain,France,"46.227638, 2.213749"
Edouard Michut,Paris Saint-Germain,France,"46.227638, 2.213749"
Ismaël Gharbi,Paris Saint-Germain,France,"46.227638, 2.213749"
Neymar,Paris Saint-Germain,Brazil,"-14.235004, -51.92528"
Julian Draxler,Paris Saint-Germain,Germany,"51.165691, 10.451526"
Pablo Sarabia,Paris Saint-Germain,Spain,"40.463667, -3.74922"
Ángel Di María,Paris Saint-Germain,Argentina,"-38.416097, -63.616672"
Kylian Mbappé,Paris Saint-Germain,France,"46.227638, 2.213749"
Mauro Icardi,Paris Saint-Germain,Argentina,"-38.416097, -63.616672"
Arnaud Kalimuendo,Paris Saint-Germain,France,"46.227638, 2.213749"
Kenny Nagera,Paris Saint-Germain,France,"46.227638, 2.213749"
